ISO,Country,Country Code,Phone Number Type,Voice Enabled,Trunking Enabled,SMS Enabled,MMS Enabled,Domestic Voice Only,Domestic SMS Only,Phone Number Price / month,Inbound Voice Price / min,Inbound Trunking Price / min,Inbound SMS Price / msg,Inbound MMS Price / msg,Beta Status,Address Required
AT,Austria,43,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,Yes
AT,Austria,43,Mobile,No,No,Yes,No,N/A,No,6.00,N/A,N/A,0.00750,N/A,No,No
AT,Austria,43,National,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,No
AU,Australia,61,Local,Yes,Yes,No,No,No,N/A,3.00,0.00750,0.00600,N/A,N/A,No,Yes
AU,Australia,61,Mobile,No,No,Yes,No,N/A,No,6.00,N/A,N/A,0.00750,N/A,No,No
AU,Australia,61,Toll Free,Yes,Yes,No,No,Yes,N/A,15.00,0.05000,0.04500,N/A,N/A,No,No
BE,Belgium,32,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,Yes
BE,Belgium,32,Mobile,No,No,Yes,No,N/A,No,1.00,N/A,N/A,0.00750,N/A,No,No
BE,Belgium,32,National,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,No
BG,Bulgaria,359,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,Yes
BR,Brazil,55,Local,Yes,Yes,No,No,No,N/A,4.00,0.00750,0.00600,N/A,N/A,No,No
CA,Canada,1,Local,Yes,Yes,Yes,Yes,No,No,1.00,0.00750,0.00600,0.00750,0.01000,No,No
CA,Canada,1,Toll Free,Yes,Yes,Yes,No,No,No,2.00,0.02750,0.02000,0.01000,N/A,No,No
CH,Switzerland,41,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,Yes
CH,Switzerland,41,Mobile,No,No,Yes,No,N/A,No,8.00,N/A,N/A,0.00750,N/A,No,No
CL,Chile,56,Mobile,No,No,Yes,No,N/A,Yes,10.00,N/A,N/A,0.00750,N/A,No,No
CY,Cyprus,357,National,Yes,Yes,No,No,No,N/A,5.00,0.00750,0.00600,N/A,N/A,No,No
CZ,Czech Republic,420,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,Yes
CZ,Czech Republic,420,Mobile,No,No,Yes,No,N/A,Yes,15.00,N/A,N/A,0.00750,N/A,No,No
DE,Germany,49,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,Yes
DE,Germany,49,Mobile,Yes,Yes,Yes,No,No,No,5.00,0.00750,0.00600,0.00750,N/A,No,Yes
DK,Denmark,45,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,Yes
DO,Dominican Republic,1829,Local,Yes,Yes,No,No,No,N/A,7.00,0.00750,0.00600,N/A,N/A,No,No
EE,Estonia,372,Mobile,No,No,Yes,No,N/A,No,3.00,N/A,N/A,0.00750,N/A,No,No
EE,Estonia,372,National,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,No
ES,Spain,34,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,Yes
ES,Spain,34,Mobile,No,No,Yes,No,N/A,Yes,4.00,N/A,N/A,0.00750,N/A,Yes,Yes
ES,Spain,34,National,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,No
FI,Finland,358,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,Yes
FI,Finland,358,Mobile,No,No,Yes,No,N/A,No,5.00,N/A,N/A,0.00750,N/A,No,No
FI,Finland,358,National,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,No
FR,France,33,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,Yes,Yes
FR,France,33,Mobile,Yes,Yes,Yes,No,Yes,Yes,3.00,0.00750,0.00750,0.00750,N/A,No,Yes
FR,France,33,National,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,Yes,No
GB,United Kingdom,44,Local,Yes,Yes,Yes,No,No,No,1.00,0.00750,0.00600,0.00750,N/A,No,No
GB,United Kingdom,44,Mobile,No,No,Yes,No,N/A,No,1.00,N/A,N/A,0.00750,N/A,No,No
GB,United Kingdom,44,National,Yes,Yes,Yes,No,No,No,1.00,0.00750,0.00600,0.00750,N/A,No,No
GB,United Kingdom,44,Toll Free,Yes,Yes,No,No,Yes,N/A,2.00,0.05750,0.05250,N/A,N/A,No,No
GR,Greece,30,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,Yes
HK,Hong Kong,852,Mobile,No,No,Yes,No,N/A,Yes,20.00,N/A,N/A,0.04000,N/A,No,No
HK,Hong Kong,852,National,Yes,Yes,No,No,No,N/A,8.00,0.00750,0.00800,N/A,N/A,No,Yes
HU,Hungary,36,Mobile,No,No,Yes,No,N/A,No,25.00,N/A,N/A,0.00750,N/A,No,No
ID,Indonesia,62,Mobile,Yes,Yes,Yes,No,No,No,3.00,0.01500,0.01000,0.00750,N/A,No,No
IE,Ireland,353,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,Yes,Yes
IE,Ireland,353,Mobile,No,No,Yes,No,N/A,No,6.00,N/A,N/A,0.00750,N/A,No,No
IE,Ireland,353,National,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,Yes,No
IL,Israel,972,Local,Yes,Yes,No,No,No,N/A,5.00,0.00750,0.00600,N/A,N/A,No,No
IL,Israel,972,Mobile,No,No,Yes,No,N/A,No,14.00,N/A,N/A,0.00750,N/A,No,No
IT,Italy,39,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,Yes
JP,Japan,81,Local,Yes,Yes,No,No,No,N/A,5.00,0.00750,0.00600,N/A,N/A,No,No
LT,Lithuania,370,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,No
LT,Lithuania,370,Mobile,No,No,Yes,No,N/A,No,3.00,N/A,N/A,0.00750,N/A,No,No
LU,Luxembourg,352,Local,Yes,Yes,No,No,No,N/A,3.00,0.00750,0.00600,N/A,N/A,No,Yes
LV,Latvia,371,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,Yes
MT,Malta,356,National,Yes,Yes,No,No,No,N/A,5.00,0.00750,0.00600,N/A,N/A,No,No
MX,Mexico,52,Local,Yes,Yes,No,No,No,N/A,3.00,0.00750,0.00600,N/A,N/A,No,Yes
NL,Netherlands,31,Local,Yes,Yes,No,No,No,N/A,3.00,0.00750,0.00600,N/A,N/A,Yes,Yes
NL,Netherlands,31,Mobile,No,No,Yes,No,N/A,No,5.00,N/A,N/A,0.00750,N/A,Yes,Yes
NL,Netherlands,31,National,Yes,Yes,No,No,No,N/A,3.00,0.00750,0.00600,N/A,N/A,Yes,No
NO,Norway,47,Mobile,No,No,Yes,No,N/A,No,15.00,N/A,N/A,0.00750,N/A,No,No
NZ,New Zealand,64,Local,Yes,Yes,No,No,No,N/A,3.00,0.00750,0.00600,N/A,N/A,No,No
PE,Peru,51,Local,Yes,Yes,No,No,No,N/A,6.00,0.00750,0.00600,N/A,N/A,No,No
PL,Poland,48,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,No
PL,Poland,48,Mobile,No,No,Yes,No,N/A,No,5.00,N/A,N/A,0.00750,N/A,No,No
PR,Puerto Rico,1,Local,Yes,Yes,Yes,No,No,No,3.00,0.00750,0.00600,0.00750,N/A,No,No
PT,Portugal,351,National,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,Yes
RO,Romania,40,Local,Yes,Yes,No,No,No,N/A,5.00,0.00750,0.00600,N/A,N/A,No,Yes
SE,Sweden,46,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,Yes
SE,Sweden,46,Mobile,No,No,Yes,No,N/A,No,1.00,N/A,N/A,0.00750,N/A,No,No
SE,Sweden,46,National,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,No
SK,Slovakia,421,Local,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,Yes
SV,El Salvador,503,Local,Yes,Yes,No,No,No,N/A,7.00,0.00750,0.00600,N/A,N/A,No,No
US,United States,1,Local,Yes,Yes,Yes,Yes,No,No,1.00,0.00750,0.00450,0.00750,0.01000,No,No
US,United States,1,Toll Free,Yes,Yes,Yes,No,No,No,2.00,0.02750,0.02000,0.00750,N/A,No,No
ZA,South Africa,27,National,Yes,Yes,No,No,No,N/A,1.00,0.00750,0.00600,N/A,N/A,No,Yes
